NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code*,Locale*,Charter,Magnet*,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
200672002055,KS-D0422-6121,2006720,KS-D0422,06,12,21st Century Learning Academy/Kiowa County,Kiowa County,Kiowa County,730 S. Main,Greensburg,KS,67054,,(620)723-1130,43,Rural: Remote,No,No,Yes,No,193.00000,2.70000,71.5000000,0.00000,0.00000
200795002097,KS-D0500-8403,2007950,KS-D0500,09,12,500 Reach,Kansas City,Wyandotte County,7704 Parallel Parkway,Kansas City,KS,66612,,(913)287-1718,12,City: Midsize,No,No,Yes,Yes,212.00000,–,†,0.00000,0.00000
200639001170,KS-D0457-7120,2006390,KS-D0457,KG,06,Abe Hubert Elementary School,Garden City,Finney County,1205 A Street,Garden City,KS,67846,5449,(620)805-8400,33,Town: Remote,No,No,Yes,Yes,336.00000,26.30000,12.8000000,241.00000,44.00000
201251000367,KS-D0262-1980,2012510,KS-D0262,PK,03,Abilene Elem,Valley Center Pub Sch,Sedgwick County,522 N Abilene,Valley Center,KS,67147,,(316)755-7020,21,Suburb: Large,No,No,Yes,Yes,235.00000,13.00000,18.1000000,74.00000,26.00000
200318001063,KS-D0435-6476,2003180,KS-D0435,09,12,Abilene High School,Abilene,Dickinson County,1300 N Cedar,Abilene,KS,67410,,(785)263-1260,32,Town: Distant,No,No,Yes,Yes,502.00000,33.30000,15.1000000,130.00000,74.00000
200318001062,KS-D0435-6475,2003180,KS-D0435,06,08,Abilene Middle School,Abilene,Dickinson County,500 Northwest 14th,Abilene,KS,67410,,(785)263-1471,32,Town: Distant,No,No,Yes,Yes,372.00000,24.60000,15.1000000,127.00000,65.00000
200345001232,KS-D0470-7440,2003450,KS-D0470,PK,05,Adams Elem,Arkansas City,Cowley County,1201 N 10th,Arkansas City,KS,67005,1998,(620)441-2040,32,Town: Distant,No,No,Yes,Yes,280.00000,19.80000,14.1000000,173.00000,34.00000
201299000249,KS-D0259-1614,2012990,KS-D0259,PK,05,Adams Elem,Wichita,Sedgwick County,1002 N Oliver,Wichita,KS,67208,2819,(316)973-2650,11,City: Large,No,No,Yes,Yes,520.00000,34.50000,15.1000000,471.00000,30.00000
201299000251,KS-D0259-1618,2012990,KS-D0259,PK,05,Allen Elem,Wichita,Sedgwick County,1881 S Elpyco,Wichita,KS,67218,4328,(316)973-1750,11,City: Large,No,No,Yes,Yes,517.00000,37.80000,13.7000000,406.00000,44.00000
201299000326,KS-D0259-1804,2012990,KS-D0259,06,08,Allison Traditional Magnet Middle,Wichita,Sedgwick County,221 S Seneca,Wichita,KS,67213,4784,(316)973-4800,11,City: Large,No,Yes,Yes,Yes,531.00000,35.31000,15.0000000,258.00000,46.00000
200324000619,KS-D0329-3650,2003240,KS-D0329,PK,04,Alma Elementary School,Wabaunsee,Wabaunsee County,215 E 9th,Alma,KS,66401,0068,(785)765-3349,42,Rural: Distant,No,No,Yes,Yes,101.00000,6.80000,14.9000000,25.00000,11.00000
200327000061,KS-D0212-0404,2003270,KS-D0212,PK,04,Almena Elem,Northern Valley,Norton County,PO Box 217,Almena,KS,67622,,(785)664-2446,42,Rural: Distant,No,No,Yes,Yes,66.00000,–,†,30.00000,5.00000
200639001169,KS-D0457-7118,2006390,KS-D0457,KG,04,Alta Brown Elem,Garden City,Finney County,1110 East Pine,Garden City,KS,67846,5947,(620)805-7200,33,Town: Remote,No,No,Yes,Yes,325.00000,30.00000,10.8000000,218.00000,50.00000
200330001494,KS-D0506-8652,2003300,KS-D0506,PK,08,Altamont Elem,Labette County,Labette County,Box 306,Altamont,KS,67330,0306,(620)784-5511,42,Rural: Distant,No,No,Yes,Yes,239.00000,12.40000,19.3000000,107.00000,24.00000
200417001898,KS-D0387-5215,2004170,KS-D0387,PK,04,Altoona-Midway Elementary,Altoona-Midway,Wilson County,PO Box 128,Altoona,KS,66710,,(620)568-5725,42,Rural: Distant,No,No,Yes,Yes,81.00000,–,†,44.00000,17.00000
200417001872,KS-D0387-5223,2004170,KS-D0387,05,12,Altoona-Midway Middle/High School,Altoona-Midway,Wilson County,20704 US 75 Hwy,Buffalo,KS,66717,,(620)537-7711,42,Rural: Distant,No,No,Yes,Yes,110.00000,–,†,52.00000,20.00000
200918001639,KS-D0383-5112,2009180,KS-D0383,PK,06,Amanda Arnold Elem,Manhattan-Ogden,Riley County,1435 Hudson,Manhattan,KS,66503,,(785)587-2020,13,City: Small,No,No,–,–,597.00000,35.12000,17.0000000,77.00000,27.00000
200654001551,KS-D0265-2033,2006540,KS-D0265,KG,04,Amelia Earhart Elementary School,Goddard,Sedgwick County,P.O. Box 319,Goddard,KS,67052,,(316)794-4080,41,Rural: Fringe,No,No,–,–,469.00000,23.70000,19.8000000,85.00000,39.00000
201108000386,KS-D0267-2062,2011080,KS-D0267,PK,08,Andale Elem-Middle,Renwick,Sedgwick County,500 W. Rush,Andale,KS,67001,,(316)444-2628,42,Rural: Distant,No,No,–,–,350.00000,20.40000,17.2000000,24.00000,5.00000
201108000387,KS-D0267-2064,2011080,KS-D0267,09,12,Andale High,Renwick,Sedgwick County,Box 28,Andale,KS,67001,,(316)444-2607,42,Rural: Distant,No,No,–,–,389.00000,28.46000,13.7000000,23.00000,23.00000
200645000206,KS-D0365-4612,2006450,KS-D0365,07,12,Anderson County Jr/Sr High School,Garnett,Anderson County,1100 West Highway 31,Garnett,KS,66032,0328,(785)448-3115,41,Rural: Fringe,No,No,Yes,Yes,481.00000,36.20000,13.3000000,143.00000,71.00000
201299001648,KS-D0259-1798,2012990,KS-D0259,PK,05,Anderson Elem,Wichita,Sedgwick County,2945 S Victoria,Wichita,KS,67216,1499,(316)973-1900,11,City: Large,No,No,Yes,Yes,621.00000,41.30000,15.0000000,507.00000,65.00000
200336001567,KS-D0385-5186,2003360,KS-D0385,09,12,Andover Central High School,Andover,Butler County,603 E. Central,Andover,KS,67002,,(316)218-4700,21,Suburb: Large,No,No,Yes,No,813.00000,48.50000,16.8000000,76.00000,37.00000
200336001564,KS-D0385-5185,2003360,KS-D0385,06,08,Andover Central Middle School,Andover,Butler County,903 E. Central,Andover,KS,67002,,(316)218-4710,21,Suburb: Large,No,No,Yes,No,626.00000,37.20000,16.8000000,111.00000,42.00000
200336002040,KS-D0385-5204,2003360,KS-D0385,KG,12,Andover eCademy,Andover,Butler County,1432 N. Andover Rd,Andover,KS,67002,,(316)218-4470,21,Suburb: Large,No,No,–,–,3268.00000,21.45000,152.4000000,0.00000,0.00000
200336000860,KS-D0385-5180,2003360,KS-D0385,09,12,Andover High,Andover,Butler County,1744 N Andover Rd,Andover,KS,67002,,(316)218-4600,21,Suburb: Large,No,No,Yes,No,829.00000,47.20000,17.6000000,74.00000,33.00000
200336000859,KS-D0385-5179,2003360,KS-D0385,06,08,Andover Middle School,Andover,Butler County,1628 N Andover Rd,Andover,KS,67002,,(316)218-4610,21,Suburb: Large,No,No,Yes,No,730.00000,40.90000,17.8000000,78.00000,41.00000
200339000747,KS-D0361-4438,2003390,KS-D0361,PK,06,Anthony Elem,Chaparral Schools,Harper County,215 S Springfield,Anthony,KS,67003,2599,(620)842-3743,43,Rural: Remote,No,No,Yes,Yes,254.00000,17.20000,14.8000000,110.00000,54.00000
200843001997,KS-D0453-7029,2008430,KS-D0453,PK,05,Anthony Elementary,Leavenworth,Leavenworth County,200 N 4th St,Leavenworth,KS,66048,,(913)684-1500,31,Town: Fringe,No,No,Yes,Yes,432.00000,30.40000,14.2000000,300.00000,45.00000
201164001518,KS-D0512-8776,2011640,KS-D0512,PK,06,Apache Elem,Shawnee Mission Pub Sch,Johnson County,8910 Goddard,Shawnee Mission,KS,66214,1998,(913)993-1600,12,City: Midsize,No,No,Yes,Yes,592.00000,35.80000,16.5000000,316.00000,84.00000
200654002020,KS-D0265-2069,2006540,KS-D0265,PK,04,Apollo Elementary School,Goddard,Sedgwick County,P.O. Box 159,Goddard,KS,67052,0149,(316)794-4090,11,City: Large,No,No,–,–,471.00000,22.30000,21.1000000,45.00000,31.00000
201080001888,KS-D0287-2559,2010800,KS-D0287,PK,05,Appanoose Elementary School,West Franklin,Franklin County,600 Shawnee Road,Pomona,KS,66076,,(785)566-3386,42,Rural: Distant,No,No,Yes,No,181.00000,15.00000,12.1000000,72.00000,11.00000
201014001718,KS-D0233-9302,2010140,KS-D0233,PK,05,Arbor Creek Elementary,Olathe,Johnson County,16150 S Brougham Dr,Olathe,KS,66062,,(913)780-7300,21,Suburb: Large,No,No,–,–,433.00000,28.10000,15.4000000,31.00000,2.00000
200795001417,KS-D0500-8320,2007950,KS-D0500,06,08,Argentine Middle,Kansas City,Wyandotte County,2123 Ruby Avenue,Kansas City,KS,66106,2990,(913)627-6750,12,City: Midsize,No,No,Yes,Yes,716.00000,49.50000,14.5000000,529.00000,67.00000
200343000740,KS-D0359-4404,2003430,KS-D0359,PK,05,Argonia Elem,Argonia Public Schools,Sumner County,202 E. Allen St.,Argonia,KS,67004,,(620)435-6716,43,Rural: Remote,No,No,Yes,Yes,92.00000,8.40000,11.0000000,40.00000,4.00000
200343000742,KS-D0359-4406,2003430,KS-D0359,06,12,Argonia High,Argonia Public Schools,Sumner County,202 E. Allen St.,Argonia,KS,67004,,(620)435-6611,43,Rural: Remote,No,No,Yes,Yes,86.00000,10.40000,8.3000000,29.00000,10.00000
200345001241,KS-D0470-7456,2003450,KS-D0470,09,12,Arkansas City High,Arkansas City,Cowley County,1200 W Radio Lane,Arkansas City,KS,67005,4099,(620)441-2010,32,Town: Distant,No,No,Yes,Yes,782.00000,55.00000,14.2000000,346.00000,73.00000
200345001240,KS-D0470-7454,2003450,KS-D0470,06,08,Arkansas City Middle Sch,Arkansas City,Cowley County,400 E Kansas Ave,Arkansas City,KS,67005,1298,(620)441-2030,32,Town: Distant,No,No,Yes,Yes,641.00000,44.20000,14.5000000,342.00000,53.00000
200795001421,KS-D0500-8324,2007950,KS-D0500,06,08,Arrowhead Middle,Kansas City,Wyandotte County,1715 N 82nd Street,Kansas City,KS,66112,2003,(913)627-6600,12,City: Midsize,No,No,Yes,Yes,470.00000,33.00000,14.2000000,256.00000,63.00000
200351000084,KS-D0220-0552,2003510,KS-D0220,PK,06,Ashland Elem,Ashland,Clark County,P.O. Box 187,Ashland,KS,67831,0187,(620)635-2722,43,Rural: Remote,No,No,Yes,Yes,127.00000,8.65000,14.7000000,63.00000,10.00000
200351000086,KS-D0220-0554,2003510,KS-D0220,09,12,Ashland High,Ashland,Clark County,P.O. Box 187,Ashland,KS,67831,0187,(620)635-2814,43,Rural: Remote,No,No,Yes,No,60.00000,6.00000,10.0000000,17.00000,7.00000
200351001650,KS-D0220-0553,2003510,KS-D0220,07,08,Ashland Junior High School,Ashland,Clark County,P.O. Box 187,Ashland,KS,67831,0187,(620)635-2814,43,Rural: Remote,No,No,Yes,No,31.00000,2.30000,13.5000000,9.00000,3.00000
200570001962,KS-D0377-4889,2005700,KS-D0377,PK,06,Atchison County Community Elementary School,Atchison Co Comm Schools,Atchison County,PO Box 289,Effingham,KS,66023,,(913)833-4420,43,Rural: Remote,No,No,Yes,Yes,252.00000,19.50000,12.9000000,69.00000,31.00000
200570001957,KS-D0377-4891,2005700,KS-D0377,07,12,Atchison County Community JR/SR High,Atchison Co Comm Schools,Atchison County,PO Box 289,Effingham,KS,66023,,(913)833-2240,43,Rural: Remote,No,No,Yes,Yes,253.00000,21.00000,12.0000000,89.00000,30.00000
200354001126,KS-D0409-5761,2003540,KS-D0409,PK,05,Atchison Elementary School,Atchison Public Schools,Atchison County,825 N 17th Street,Atchison,KS,66002,1516,(913)367-1161,32,Town: Distant,No,No,Yes,Yes,820.00000,62.00000,13.2000000,487.00000,93.00000
200354000956,KS-D0409-5770,2003540,KS-D0409,09,12,Atchison High School,Atchison Public Schools,Atchison County,1500 W. Riley St,Atchison,KS,66002,1513,(913)367-4162,32,Town: Distant,No,No,Yes,No,463.00000,38.00000,12.2000000,212.00000,42.00000
200354000958,KS-D0409-5776,2003540,KS-D0409,06,08,Atchison Middle School,Atchison Public Schools,Atchison County,301 N 5th,Atchison,KS,66002,2456,(913)367-5363,32,Town: Distant,No,No,Yes,Yes,373.00000,32.20000,11.6000000,194.00000,54.00000
200357001514,KS-D0511-8764,2003570,KS-D0511,09,12,Attica High,Attica,Harper County,P.O. Box 415,Attica,KS,67009,0415,(620)254-7915,43,Rural: Remote,No,No,Yes,No,47.00000,8.47000,5.5000000,17.00000,2.00000
